Category,Message
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589"
Aditya's,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!"
Aditya's,I plane to give on this month end.
Aditya's,Wah lucky man... Then can save money... Hee...
Aditya's,Finished class where are you.
Aditya's,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
Aditya's,K..k:)where are you?how did you performed?
Aditya's,U can call me now...
Aditya's,I am waiting machan. Call me once you free.
Aditya's,Thats cool. i am a gentleman and will treat you with dignity and respect.
Aditya's,I like you peoples very much:) but am very shy pa.
Aditya's,Does not operate after  &lt;#&gt;  or what
Aditya's,Its not the same here. Still looking for a job. How much do Ta's earn there.
Aditya's,"Sorry, I'll call later"
Aditya's,K. Did you call me just now ah?
Aditya's,Ok i am on the way to home hi hi
Aditya's,You will be in the place of that man
Aditya's,Yup next stop.
Aditya's,"I call you later, don't have network. If urgnt, sms me."
Aditya's,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
Aditya's,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
Aditya's,I'm really not up to it still tonight babe
Aditya's,"Ela kano.,il download, come wen ur free.."
Aditya's,Yeah do! Don‘t stand to close tho- you‘ll catch something!
Aditya's,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.
Aditya's,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!
Aditya's,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
Aditya's,Watching telugu movie..wat abt u?
Aditya's,i see. When we finish we have loads of loans to pay
Aditya's,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?"""
Aditya's,I see a cup of coffee animation
Aditya's,Please don't text me anymore. I have nothing else to say.
Aditya's,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx
Aditya's,I'm still looking for a car to buy. And have not gone 4the driving test yet.
Aditya's,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
Aditya's,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston."
Aditya's,Umma my life and vava umma love you lot dear
Aditya's,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.
Aditya's,"Aight, I'll hit you up when I get some cash"
Aditya's,How would my ip address test that considering my computer isn't a minecraft server
Aditya's,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...
Aditya's,Dont worry. I guess he's busy.
Aditya's,What is the plural of the noun research?
Aditya's,Going for dinner.msg you after.
Aditya's,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
Aditya's,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?"
Aditya's,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
spam,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+)
Aditya's,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!
Aditya's,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
spam,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM"
Aditya's,here is my new address -apples&pairs&all that malarky
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
Aditya's,I am going to sao mu today. Will be done only at 12
Aditya's,Ü predict wat time ü'll finish buying?
Aditya's,"Good stuff, will do."
Aditya's,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise."
Aditya's,Are you there in room.
Aditya's,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
Aditya's,K..k:)how much does it cost?
Aditya's,I'm home.
Aditya's,"Dear, will call Tmorrow.pls accomodate."
Aditya's,First answer my question.
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
Aditya's,I only haf msn. It's yijue@hotmail.com
Aditya's,He is there. You call and meet him
Aditya's,No no. I will check all rooms befor activities
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again
Aditya's,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...
Aditya's,"K, text me when you're on the way"
Aditya's,"Sir, Waiting for your mail."
Aditya's,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8"
Aditya's,I know you are. Can you pls open the back?
Aditya's,Yes see ya not on the dot
Aditya's,Whats the staff name who is taking class for us?
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end"
Aditya's,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.
Aditya's,K..i deleted my contact that why?
Aditya's,Sindu got job in birla soft ..
Aditya's,The wine is flowing and i'm i have nevering..
Aditya's,Yup i thk cine is better cos no need 2 go down 2 plaza mah.
Aditya's,Ok... Ur typical reply...
Aditya's,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
Aditya's,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one."
Aditya's,Aaooooright are you at work?
Aditya's,I'm leaving my house now...
Aditya's,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?"
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
Aditya's,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life
Aditya's,New car and house for my parents.:)i have only new job in hand:)
Aditya's,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu"
Aditya's,I place all ur points on e cultures module already.
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only
Aditya's,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
Aditya's,Great escape. I fancy the bridge but needs her lager. See you tomo
Aditya's,Yes :)it completely in out of form:)clark also utter waste.
Aditya's,"Sir, I need AXIS BANK account no and bank address."
Aditya's,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao..."
Aditya's,What time you coming down later?
Aditya's,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m..."
Aditya's,"Well, i'm gonna finish my bath now. Have a good...fine night."
Aditya's,Let me know when you've got the money so carlos can make the call
Aditya's,U still going to the mall?
Aditya's,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth"
Aditya's,Text her. If she doesnt reply let me know so i can have her log in
Aditya's,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
Aditya's,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend
Aditya's,Lol no. U can trust me.
Aditya's,ok. I am a gentleman and will treat you with dignity and respect.
Aditya's,"He will, you guys close?"
Aditya's,Going on nothing great.bye
Aditya's,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?
Aditya's,"Haha awesome, be there in a minute"
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!
Aditya's,Have you got Xmas radio times. If not i will get it now
Aditya's,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
Aditya's,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|
Aditya's,Hi :)finally i completed the course:)
Aditya's,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.
Aditya's,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
Aditya's,Gud mrng dear hav a nice day
Aditya's,Did u got that persons story
Aditya's,is your Aditya'sster dead? Hey so tmr i meet you at 1pm orchard mrt?
Aditya's,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx
Aditya's,"Found it, ENC  &lt;#&gt; , where you at?"
Aditya's,I sent you  &lt;#&gt;  bucks
Aditya's,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx
Aditya's,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
Aditya's,Goodmorning sleeping ga.
Aditya's,U call me alter at 11 ok.
Aditya's,Ü say until like dat i dun buy ericsson oso cannot oredi lar...
Aditya's,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
Aditya's,"Aight yo, dats straight dogg"
Aditya's,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill
Aditya's,Both :) i shoot big loads so get ready!
Aditya's,"What's up bruv, hope you had a great break. Do have a rewarding semester."
Aditya's,Home so we can always chat
Aditya's,K:)k:)good:)study well.
Aditya's,Yup... How ü noe leh...
Aditya's,Sounds great! Are you home now?
Aditya's,Finally the match heading towards draw as your prediction.
Aditya's,Tired. I haven't slept well the past few nights.
Aditya's,Easy ah?sen got selected means its good..
Aditya's,I have to take exam with march 3
Aditya's,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.
Aditya's,Ok no prob. Take ur time.
Aditya's,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
Aditya's,"Sorry, I'll call later"
Aditya's,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18"
Aditya's,Would really appreciate if you call me. Just need someone to talk to.
spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES"
Aditya's,Hey company elama po mudyadhu.
Aditya's,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . ."
Aditya's,Dear good morning now only i am up
Aditya's,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
Aditya's,Dear we are going to our rubber place
Aditya's,"Sorry battery died, yeah I'm here"
Aditya's,Yes:)here tv is always available in work place..
spam,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence
Aditya's,I have printed it oh. So  &lt;#&gt;  come upstairs
Aditya's,Or ill be a little closer like at the bus stop on the same street
Aditya's,Where are you?when wil you reach here?
Aditya's,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
spam,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
Aditya's,Tomarrow final hearing on my laptop case so i cant.
Aditya's,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
Aditya's,"Okay. No no, just shining on. That was meant to be signing, but that sounds better."
Aditya's,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched..."
Aditya's,U don't remember that old commercial?
Aditya's,Too late. I said i have the website. I didn't i have or dont have the slippers
Aditya's,I asked you to call him now ok
Aditya's,Kallis wont bat in 2nd innings.
Aditya's,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.
spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
Aditya's,Ranjith cal drpd Deeraj and deepak 5min hold
Aditya's,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
Aditya's,What you doing?how are you?
Aditya's,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff."
Aditya's,"I'm back, lemme know when you're ready"
Aditya's,Don't necessarily expect it to be done before you get back though because I'm just now headin out
Aditya's,Mmm so yummy babe ... Nice jolt to the suzy
Aditya's,Where are you lover ? I need you ...
spam,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
Aditya's,I‘m parked next to a MINI!!!! When are you coming in today do you think?
Aditya's,Yup
Aditya's,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.
Aditya's,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*
spam,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698
Aditya's,Why you Dint come with us.
Aditya's,Same. Wana plan a trip sometme then
Aditya's,"Not sure yet, still trying to get a hold of him"
spam,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT
Aditya's,The evo. I just had to download flash. Jealous?
spam,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.
Aditya's,"Come to mu, we're sorting out our narcotics situation"
Aditya's,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay."
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
Aditya's,"Usf I guess, might as well take 1 car"
Aditya's,No objection. My bf not coming.
Aditya's,Thanx...
Aditya's,Tell rob to mack his gf in the theater
Aditya's,"Awesome, I'll see you in a bit"
Aditya's,Just sent it. So what type of food do you like?
Aditya's,All done? All handed in? Celebrations in full swing yet?
Aditya's,You got called a tool?
Aditya's,"Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them, just Keep-in-touch gdeve.."
Aditya's,Ok. I asked for money how far
Aditya's,Okie...
Aditya's,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down"
Aditya's,"K, I might come by tonight then if my class lets out early"
Aditya's,Ok..
Aditya's,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx
Aditya's,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
Aditya's,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense."
Aditya's,Hey you told your name to gautAditya's ah?
Aditya's,Haf u found him? I feel so stupid da v cam was working.
Aditya's,Oops. 4 got that bit.
Aditya's,Are you this much buzy
Aditya's,I accidentally deleted the message. Resend please.
spam,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply
Aditya's,Unless it's a situation where YOU GO GURL would be more appropriate
Aditya's,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL
Aditya's,I cant pick the phone right now. Pls send a message
Aditya's,Need a coffee run tomo?Can't believe it's that time of week already
Aditya's,"Awesome, I remember the last time we got somebody high for the first time with diesel :V"
Aditya's,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?"
Aditya's,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight?
Aditya's,He is a womdarfull actor
spam,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE"
Aditya's,Yup... From what i remb... I think should be can book...
Aditya's,Jos ask if u wana meet up?
Aditya's,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.
spam,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468"
Aditya's,Where are the garage keys? They aren't on the bookshelf
Aditya's,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
spam,"Think ur smart ? Win £200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week"
Aditya's,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week
Aditya's,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost."
Aditya's,You made my day. Do have a great day too.
Aditya's,K.k:)advance happy pongal.
Aditya's,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao..."
Aditya's,"Not really dude, have no friends i'm afraid :("
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
Aditya's,"Coffee cake, i guess..."
Aditya's,"Merry Christmas to you too babe, i love ya *kisses*"
Aditya's,Hey... Why dont we just go watch x men and have lunch... Haha
Aditya's,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x
Aditya's,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week
Aditya's,No problem. How are you doing?
Aditya's,No calls..messages..missed calls
Aditya's,Hi da:)how is the todays class?
Aditya's,"I'd say that's a good sign but, well, you know my track record at reading women"
Aditya's,"Cool, text me when you're parked"
Aditya's,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light
Aditya's,K.k:)apo k.good movie.
Aditya's,Maybe i could get book out tomo then return it immediately ..? Or something.
spam,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!
Aditya's,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.
spam,Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.
Aditya's,"Ta-Daaaaa! I am home babe, are you still up ?"
Aditya's,Cool. So how come you havent been wined and dined before?
Aditya's,Just sleeping..and surfing
Aditya's,"Sorry, I'll call later"
Aditya's,U calling me right? Call my hand phone...
Aditya's,Ok that's great thanx a lot.
Aditya's,I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him
Aditya's,Where u been hiding stranger?
Aditya's,Am not interested to do like that.
Aditya's,My sister cleared two round in birla soft yesterday.
Aditya's,Gudnite....tc...practice going on
Aditya's,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.
Aditya's,One small prestige problem now.
spam,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X
Aditya's,Just checking in on you. Really do miss seeing Jeremiah. Do have a great month
Aditya's,"Nah can't help you there, I've never had an iphone"
Aditya's,If you're not in my car in an hour and a half I'm going apeshit
